Species,Shape,Height,Diameter1,Diameter2
Pinus radiata,2,30,0.425,0.477
Pinus radiata,2,32,0.474,0.446
Pinus radiata,2,27,0.358,0.376
Pinus radiata,2,28.5,0.465,0.448
Pinus radiata,2,22,0.45,0.441
Pinus radiata,2,27,0.5,0.472
Pinus radiata,2,17,0.38,0.365
Pinus radiata,2,23,0.383,0.356
Pinus radiata,2,28.5,0.485,0.503
Pinus radiata,2,30,0.473,0.509
Pinus radiata,2,31,0.507,0.518
Pinus radiata,2,24,0.32,0.325
Pinus radiata,2,22.5,0.446,0.443
Pinus radiata,2,27,0.487,0.523
Pinus radiata,2,32,0.509,0.526
Pinus radiata,2,28,0.443,0.457
Pinus radiata,2,22.5,0.357,0.352
Pinus radiata,2,19,0.534,0.542
Pinus radiata,2,18,0.294,0.299
Pinus radiata,2,24,0.491,0.504
Pinus radiata,2,26,0.467,0.428
Pinus radiata,2,24,0.515,0.5
Pinus radiata,2,30,0.497,0.482
Pinus radiata,2,31,0.448,0.423
Pinus radiata,2,34,0.563,0.564
Pinus radiata,2,32,0.486,0.514
Pinus radiata,2,31,0.475,0.497
Pinus radiata,2,30,0.41,0.402
Pinus radiata,2,33,0.5,0.531
Pinus radiata,2,29,0.476,0.472
Pinus radiata,2,31,0.48,0.475
Pinus radiata,2,30,0.48,0.47
Pinus radiata,2,29,0.406,0.39
Pinus radiata,2,28,0.369,0.373
Pinus radiata,2,32,0.414,0.463
Pinus radiata,2,34,0.457,0.473
Pinus radiata,2,29,0.398,0.44
Pinus radiata,2,28.5,0.506,0.504
Pinus radiata,2,9,0.127,0.141
Pinus radiata,3,8,0.077,0.077
Pinus radiata,3,8.5,0.085,0.086
Pinus radiata,2,11,0.126,0.127
Pinus radiata,3,7.5,0.11,0.105
Pinus radiata,2,9,0.134,0.136
Pinus radiata,3,7,0.078,0.079
Pinus radiata,2,11.5,0.22,0.236
Pinus radiata,2,9,0.094,0.101
Pinus radiata,2,10,0.15,0.15
Pinus radiata,3,8,0.102,0.101
Pinus radiata,3,7,0.099,0.09
Pinus radiata,2,8.5,0.152,0.15
Pinus radiata,2,10,0.206,0.213
Pinus radiata,2,10.5,0.147,0.152
Pinus radiata,2,8.5,0.148,0.153
Pinus radiata,2,17,0.187,0.18
Pinus radiata,2,19.5,0.277,0.272
Pinus radiata,2,18,0.23,0.225
Arbutus unedo ,5,4.5,0.092,0.076
Pinus radiata,2,21,0.357,0.364
Pinus radiata,2,14.5,0.159,0.163
Pinus radiata,2,17,0.207,0.209
Pinus radiata,2,15.5,0.249,0.276
Pinus radiata,2,14.5,0.179,0.185
Pinus radiata,2,20,0.277,0.277
Pinus radiata,2,16,0.258,0.249
Pinus radiata,2,14.5,0.199,0.187
Pinus radiata,2,14,0.182,0.178
Pinus radiata,2,15,0.192,0.178
Pinus radiata,2,19,0.328,0.344
Pinus radiata,2,18.5,0.222,0.241
Pinus radiata,2,18,0.231,0.26
Pinus radiata,2,18,0.226,0.246
Pinus radiata,2,15,0.199,0.193
Pinus radiata,2,17.5,0.233,0.216
Pinus radiata,2,18.5,0.257,0.239
Pinus radiata,2,16,0.233,0.221
Pinus radiata,2,14.5,0.221,0.215
Pinus radiata,2,16.5,0.198,0.193
Pinus radiata,2,20,0.253,0.248
Pinus radiata,2,20,0.259,0.254
Pinus radiata,2,16.5,0.243,0.235
Pinus radiata,2,12.5,0.172,0.171
Pinus radiata,3,12.5,0.101,0.096
Pinus radiata,2,15,0.232,0.238
Pinus radiata,2,6,0.153,0.156
Pinus radiata,2,12.5,0.138,0.147
Pinus radiata,2,15.5,0.226,0.228
Pinus radiata,2,14.5,0.153,0.162
Pinus radiata,2,14.5,0.165,0.164
Pinus radiata,2,14,0.266,0.289
Pinus radiata,2,15.5,0.163,0.163
Pinus radiata,2,13.5,0.164,0.162
Pinus radiata,2,11.5,0.157,0.156
Pinus radiata,2,12,0.139,0.137
Pinus radiata,2,13.5,0.146,0.148
Pinus radiata,2,14,0.165,0.164
Pinus radiata,2,13.5,0.126,0.129
Pinus radiata,2,15,0.159,0.147
Pinus radiata,2,14,0.192,0.192
Pinus radiata,2,14,0.146,0.152
Pinus radiata,2,6,0.118,0.12
Pinus radiata,2,16.5,0.216,0.22
Pinus radiata,2,16.5,0.253,0.239
Pinus radiata,2,13.5,0.146,0.153
Pinus radiata,2,14.5,0.159,0.164
Pinus radiata,2,17,0.238,0.223
Pinus radiata,2,14.5,0.13,0.128
Pinus radiata,3,9.5,0.083,0.081
Pinus radiata,2,15,0.123,0.128
Pinus radiata,2,16.5,0.157,0.165
Pinus radiata,2,16,0.146,0.144
Pinus radiata,2,14,0.185,0.189
Pinus radiata,2,15,0.139,0.141
Pinus radiata,2,14,0.132,0.126
Pinus radiata,2,16.5,0.276,0.284
Pinus radiata,2,16.5,0.183,0.182
Pinus radiata,2,13.5,0.152,0.148
Pinus radiata,3,5.5,0.075,0.076
Pinus radiata,3,5.5,0.076,0.076
Pinus radiata,3,6,0.077,0.078
Pinus radiata,3,6,0.096,0.091
Pinus radiata,2,20.5,0.304,0.297
Pinus radiata,2,21.5,0.324,0.323
Pinus radiata,2,22.5,0.402,0.398
Pinus radiata,2,27,0.374,0.371
Pinus radiata,2,23,0.349,0.371
Pinus radiata,2,25.5,0.375,0.362
Pinus radiata,2,22,0.262,0.276
Pinus radiata,2,25,0.347,0.349
Pinus radiata,2,25.5,0.382,0.376
Pinus radiata,2,24.5,0.336,0.339
Pinus radiata,2,31,0.362,0.356
Pinus radiata,2,25,0.306,0.311
Pinus radiata,2,23.5,0.309,0.318
