Species,Shape,Height,Diameter1,Diameter2
Acer campestre,5,10,0.263,0.284
Quercus faginea,3,7,0.106,0.116
Quercus faginea,2,10,0.198,0.197
Quercus faginea,3,5.5,0.085,0.082
Quercus faginea,5,5,0.087,0.078
Quercus faginea,3,7.5,0.13,0.122
Quercus faginea,2,7.5,0.148,0.153
Quercus faginea,3,6.5,0.106,0.098
Quercus faginea,3,7,0.136,0.133
Quercus faginea,3,7.5,0.122,0.128
Quercus faginea,3,7.5,0.114,0.117
Quercus faginea,2,7,0.18,0.17
Quercus faginea,3,8,0.113,0.121
Quercus faginea,5,5.5,0.086,0.09
Quercus faginea,2,6.5,0.139,0.136
Quercus faginea,4,11,0.53,0.512
Pinus sylvestris,3,5.5,0.113,0.114
Pinus sylvestris,3,5.5,0.109,0.11
Pinus sylvestris,3,6.5,0.151,0.151
Pinus sylvestris,3,6,0.13,0.126
Pinus sylvestris,2,6.5,0.147,0.149
Pinus sylvestris,3,6,0.137,0.139
Pinus sylvestris,3,6.5,0.149,0.146
Pinus sylvestris,3,6,0.106,0.109
Pinus sylvestris,3,6.5,0.14,0.147
Pinus sylvestris,3,6.5,0.13,0.129
Pinus sylvestris,2,7.5,0.15,0.156
Pinus sylvestris,2,7.5,0.18,0.177
Pinus sylvestris,2,7,0.179,0.175
Pinus sylvestris,3,6.5,0.139,0.138
Pinus sylvestris,2,6.5,0.17,0.17
Pinus sylvestris,2,6.5,0.152,0.151
Pinus sylvestris,2,6.5,0.183,0.182
Pinus sylvestris,3,6,0.158,0.15
Pinus sylvestris,3,6,0.132,0.13
Pinus sylvestris,2,6.5,0.149,0.15
Pinus sylvestris,3,7,0.17,0.167
Pinus sylvestris,3,6,0.142,0.144
Pinus sylvestris,3,6.5,0.132,0.126
Pinus sylvestris,2,6,0.165,0.17
Pinus sylvestris,3,5.5,0.156,0.151
Pinus sylvestris,3,5,0.118,0.121
Pinus sylvestris,3,5.5,0.133,0.142
Pinus sylvestris,3,6,0.13,0.133
Pinus sylvestris,3,5.5,0.12,0.121
Pinus sylvestris,2,6,0.155,0.158
Pinus sylvestris,3,5,0.124,0.131
Pinus sylvestris,3,5,0.135,0.135
Pinus sylvestris,3,5,0.106,0.103
Pinus sylvestris,2,6,0.147,0.143
Pinus sylvestris,3,5,0.135,0.133
Pinus sylvestris,3,5.5,0.144,0.145
Pinus sylvestris,3,4.5,0.088,0.089
Acer campestre,5,8,0.131,0.142
Fagus sylvatica,2,7.5,0.147,0.139
Quercus faginea,3,9,0.108,0.111
Quercus faginea,3,8,0.117,0.101
Quercus faginea,3,6.5,0.082,0.081
Quercus faginea,2,10,0.123,0.128
Quercus faginea,4,14,0.933,0.933
Acer campestre,3,10,0.132,0.12
Fagus sylvatica,2,9,0.142,0.133
Fagus sylvatica,3,9,0.093,0.1
Fagus sylvatica,2,10,0.152,0.151
Fagus sylvatica,2,8,0.183,0.188
Fagus sylvatica,2,7.5,0.126,0.132
Acer campestre,2,7.5,0.127,0.13
Acer campestre,3,6.5,0.095,0.085
Quercus faginea,2,8.5,0.157,0.171
Quercus faginea,3,8.5,0.137,0.141
Quercus faginea,3,7.5,0.093,0.095
Crataegus spp.,5,4,0.079,0.075
Quercus faginea,2,8,0.143,0.15
Quercus faginea,2,9,0.13,0.125
Fagus sylvatica,2,9.5,0.172,0.167
Fagus sylvatica,2,9.5,0.189,0.188
Fagus sylvatica,3,9.5,0.14,0.13
Acer campestre,2,9,0.132,0.138
Acer campestre,2,9,0.143,0.154
Quercus faginea,3,6.5,0.085,0.083
Quercus faginea,5,7.5,0.121,0.13
Fagus sylvatica,4,15,0.684,0.684
Quercus faginea,5,4.5,0.096,0.093
Quercus faginea,5,4,0.11,0.096
Quercus faginea,5,4.5,0.097,0.099
Quercus faginea,3,5,0.093,0.084
Quercus faginea,4,8.5,0.257,0.255
Quercus faginea,2,8,0.163,0.162
Quercus faginea,2,8,0.232,0.233
Quercus faginea,3,7.5,0.14,0.138
Quercus faginea,3,7,0.14,0.137
Quercus faginea,4,11.5,0.646,0.646
Fagus sylvatica,2,7.5,0.432,0.425
Quercus faginea,4,6.5,0.653,0.653
Quercus faginea,5,4.5,0.457,0.447
Quercus faginea,4,8.5,0.636,0.611
Quercus faginea,5,5.5,0.637,0.637
Fagus sylvatica,3,6,0.182,0.179
Fagus sylvatica,2,13,0.309,0.298
Fagus sylvatica,2,13,0.338,0.313
Fagus sylvatica,2,17.5,0.525,0.571
Fagus sylvatica,2,19.5,0.472,0.513
Fagus sylvatica,2,20,0.566,0.534
Fagus sylvatica,2,17,0.567,0.553
Fagus sylvatica,2,18.5,0.282,0.269
Fagus sylvatica,2,17.5,0.365,0.384
Fagus sylvatica,2,19,0.481,0.503
Fagus sylvatica,2,17.5,0.238,0.234
Fagus sylvatica,2,19,0.41,0.449
Fagus sylvatica,2,18.5,0.306,0.288
Fagus sylvatica,2,18,0.373,0.413
Fagus sylvatica,2,18,0.273,0.273
Fagus sylvatica,2,19,0.337,0.298
Fagus sylvatica,2,19.5,0.403,0.403
Fagus sylvatica,2,21,0.406,0.416
Fagus sylvatica,2,23,0.453,0.476
Fagus sylvatica,2,23.5,0.442,0.458
Fagus sylvatica,2,24.5,0.538,0.598
Fagus sylvatica,2,22,0.593,0.576
Fagus sylvatica,2,18,0.299,0.307
Fagus sylvatica,2,23,0.446,0.407
Fagus sylvatica,2,22,0.681,0.681
Fagus sylvatica,2,22.5,0.503,0.484
Fagus sylvatica,2,24,0.44,0.469
Fagus sylvatica,2,25,0.462,0.499
Fagus sylvatica,2,25,0.468,0.488
Fagus sylvatica,2,26,0.474,0.482
Fagus sylvatica,2,22,0.293,0.308
Fagus sylvatica,2,26,0.358,0.389
Fagus sylvatica,2,27,0.493,0.533
Fagus sylvatica,2,24.5,0.422,0.417
Fagus sylvatica,2,23.5,0.26,0.264
Fagus sylvatica,2,23,0.216,0.236
Fagus sylvatica,2,26,0.455,0.422
Fagus sylvatica,2,25,0.339,0.397
Fagus sylvatica,2,25.5,0.584,0.643
Fagus sylvatica,2,24,0.329,0.321
Fagus sylvatica,2,21,0.252,0.261
Fagus sylvatica,2,22.5,0.403,0.352
Fagus sylvatica,2,23,0.459,0.429
Fagus sylvatica,2,22,0.265,0.253
Fagus sylvatica,2,24,0.489,0.494
Fagus sylvatica,2,23.5,0.41,0.407
Fagus sylvatica,2,26,0.443,0.447
Fagus sylvatica,2,23,0.353,0.36
Fagus sylvatica,2,22,0.372,0.378
Fagus sylvatica,2,19,0.192,0.187
Fagus sylvatica,2,20.5,0.312,0.317
Fagus sylvatica,2,27,0.487,0.482
Fagus sylvatica,2,24.5,0.414,0.42
Fagus sylvatica,2,24.5,0.432,0.399
Fagus sylvatica,2,28,0.527,0.49
Quercus faginea,2,8.5,0.272,0.281
Quercus faginea,4,8,0.218,0.209
Quercus faginea,5,8,0.262,0.266
Quercus faginea,5,6.5,0.204,0.217
Quercus faginea,5,9,0.242,0.22
Quercus faginea,5,8.5,0.223,0.208
Quercus faginea,2,9.5,0.216,0.192
Fagus sylvatica,5,4,0.255,0.225
Fagus sylvatica,2,9,0.225,0.222
Fagus sylvatica,4,10,0.293,0.305
Fagus sylvatica,3,5,0.076,0.076
Fagus sylvatica,3,7,0.136,0.14
Quercus faginea,5,3,0.072,0.078
Sorbus spp.,3,7,0.123,0.133
Acer campestre,3,6.5,0.137,0.142
Acer campestre,3,7.5,0.133,0.136
Acer campestre,3,5.5,0.082,0.08
Quercus faginea,3,6,0.114,0.116
Fagus sylvatica,2,20,0.47,0.455
Fagus sylvatica,2,20,0.7,0.7
Fagus sylvatica,2,15,0.397,0.375
Fagus sylvatica,2,17,0.41,0.44
Quercus faginea,3,5.5,0.1,0.111
Fagus sylvatica,2,19,0.48,0.49
Fagus sylvatica,2,9.5,0.17,0.185
Quercus faginea,5,3,0.081,0.087
Fagus sylvatica,2,11,0.395,0.37
Quercus faginea,3,4.5,0.08,0.078
Fagus sylvatica,2,12,0.57,0.546
Quercus faginea,4,7,0.433,0.464
Quercus faginea,4,8.5,0.47,0.45
Quercus faginea,4,10.5,0.596,0.66
Quercus faginea,4,15.5,0.542,0.467
Quercus faginea,4,7.5,0.572,0.53
Quercus faginea,4,16,0.573,0.52
Quercus faginea,4,14.5,0.716,0.716
Quercus faginea,4,9,0.47,0.41
Quercus faginea,2,16.5,0.493,0.472
Fagus sylvatica,4,15,0.43,0.462
Quercus faginea,5,7.5,0.39,0.327
Fagus sylvatica,5,7,0.348,0.411
Quercus faginea,4,14,0.561,0.514
Quercus faginea,4,9.5,0.38,0.304
Quercus faginea,4,10,0.506,0.557
Quercus faginea,4,9.5,0.432,0.44
Quercus faginea,2,10,0.316,0.283
Quercus faginea,2,11.5,0.455,0.435
Quercus faginea,5,4,0.36,0.416
Quercus faginea,2,8.5,0.49,0.51
Quercus faginea,4,7.5,0.57,0.493
Quercus faginea,5,6.5,0.288,0.253
Quercus faginea,2,11.5,0.431,0.45
Quercus faginea,5,9.5,0.453,0.454
Quercus faginea,2,9.5,0.192,0.187
Quercus faginea,4,15,0.445,0.409
Quercus faginea,2,10.5,0.141,0.166
Quercus faginea,2,14,0.51,0.53
Quercus faginea,2,17,0.483,0.504
Quercus faginea,2,8,0.166,0.201
Quercus faginea,2,10,0.117,0.171
Quercus faginea,2,14,0.202,0.233
Quercus faginea,2,12,0.265,0.275
Quercus faginea,4,10,0.468,0.411
Quercus faginea,2,8,0.177,0.179
Quercus faginea,2,13,0.221,0.227
Quercus faginea,3,7,0.155,0.162
Crataegus spp.,5,5,0.092,0.086
Quercus faginea,4,6,0.28,0.215
Quercus faginea,2,8,0.25,0.26
Quercus faginea,4,8,0.315,0.238
Quercus faginea,4,9,0.35,0.298
Quercus faginea,5,3.5,0.102,0.104
Quercus faginea,2,8,0.23,0.224
Quercus faginea,4,8,0.256,0.26
Quercus faginea,3,8,0.14,0.142
Quercus faginea,5,4,0.234,0.269
Quercus faginea,4,9,0.472,0.492
Quercus faginea,4,7,0.392,0.387
Quercus faginea,4,8.5,0.418,0.424
Quercus faginea,4,8.5,0.575,0.643
Quercus faginea,4,8,0.288,0.35
Quercus faginea,4,8.5,0.364,0.357
Quercus faginea,4,6,0.376,0.404
Quercus faginea,5,5,0.129,0.138
Quercus faginea,5,4,0.134,0.097
Fagus sylvatica,2,17,0.438,0.404
Fagus sylvatica,2,16.5,0.234,0.215
Fagus sylvatica,2,19,0.259,0.264
Fagus sylvatica,2,17.5,0.234,0.244
Fagus sylvatica,2,16.5,0.208,0.2
Fagus sylvatica,3,13,0.129,0.128
Fagus sylvatica,2,13.5,0.146,0.142
Fagus sylvatica,2,16.5,0.246,0.228
Fagus sylvatica,2,16,0.242,0.268
Fagus sylvatica,2,18,0.323,0.367
Fagus sylvatica,2,13.5,0.237,0.281
Fagus sylvatica,5,10.5,0.187,0.233
Fagus sylvatica,2,17,0.308,0.318
Sorbus spp.,5,9,0.211,0.219
Fagus sylvatica,4,12.5,0.332,0.317
Fagus sylvatica,5,14,0.167,0.195
Fagus sylvatica,2,18,0.307,0.34
Fagus sylvatica,4,13,0.282,0.313
Fagus sylvatica,2,20,0.309,0.296
Fagus sylvatica,2,17,0.244,0.228
Fagus sylvatica,2,18.5,0.267,0.252
Fagus sylvatica,4,18,0.567,0.567
Fagus sylvatica,5,14,0.235,0.257
Fagus sylvatica,2,17.5,0.32,0.331
Fagus sylvatica,2,20,0.342,0.356
Fagus sylvatica,2,18,0.373,0.414
Fagus sylvatica,4,8.5,0.325,0.292
Fagus sylvatica,2,21,0.53,0.531
Fagus sylvatica,2,21,0.479,0.455
Fagus sylvatica,2,17.5,0.472,0.478
Fagus sylvatica,2,13,0.403,0.389
Fagus sylvatica,5,19,0.547,0.547
Fagus sylvatica,5,19,0.567,0.582
Fagus sylvatica,4,19.5,0.684,0.684
Fagus sylvatica,4,20,0.735,0.735
Quercus faginea,5,9.5,0.384,0.393
Quercus faginea,4,19,0.384,0.355
Quercus faginea,4,17.5,0.565,0.509
Quercus faginea,4,21,0.48,0.466
Quercus faginea,2,16,0.268,0.286
Acer campestre,3,6.5,0.078,0.077
Quercus faginea,4,9,0.306,0.331
Quercus faginea,2,22,0.356,0.364
Quercus faginea,2,20,0.364,0.42
Quercus faginea,2,16,0.317,0.304
Quercus faginea,4,18,0.484,0.49
Quercus faginea,4,23,0.403,0.438
Quercus faginea,4,16,0.354,0.369
Quercus faginea,4,8,0.213,0.2
Acer campestre,5,10.5,0.594,0.6
Quercus faginea,4,9,0.636,0.631
Quercus faginea,4,7,0.474,0.509
Quercus faginea,2,8.5,0.559,0.522
Quercus faginea,4,9,0.358,0.333
Quercus faginea,4,9.5,0.666,0.648
Quercus faginea,4,9,0.7,0.7
Quercus faginea,3,8,0.148,0.139
Quercus faginea,5,6,0.099,0.095
Quercus faginea,3,6,0.077,0.074
Quercus faginea,5,4.5,0.1,0.1
Fagus sylvatica,2,19,0.764,0.764
Fagus sylvatica,4,17,0.515,0.6
Fagus sylvatica,2,14,0.716,0.716
Quercus faginea,4,7.5,0.764,0.764
Quercus faginea,4,8,0.405,0.376
Quercus faginea,4,10,0.59,0.54
Quercus faginea,4,6.5,0.625,0.555
Quercus faginea,2,7.5,0.138,0.139
Quercus faginea,3,6,0.106,0.106
Sorbus spp.,3,8,0.134,0.138
Acer campestre,2,8,0.131,0.127
Quercus faginea,2,10,0.134,0.126
Quercus pyrenaica,2,21,0.546,0.539
Quercus faginea,2,19,0.7,0.64
Quercus faginea,2,17,0.5,0.515
Quercus faginea,4,13,0.63,0.52
Quercus faginea,5,15,0.252,0.249
Quercus faginea,2,15,0.395,0.405
Quercus faginea,2,13,0.54,0.515
Quercus faginea,2,16,0.332,0.295
Quercus faginea,2,16,0.403,0.379
Quercus faginea,2,15,0.38,0.35
Quercus faginea,2,12,0.26,0.215
Quercus faginea,2,18,0.39,0.38
Quercus faginea,2,12,0.436,0.415
Quercus faginea,2,17,0.395,0.43
Quercus faginea,2,17,0.43,0.42
Quercus faginea,2,18,0.55,0.507
Quercus faginea,2,14,0.53,0.53
Quercus faginea,2,14,0.445,0.5
Quercus pyrenaica,4,15,0.635,0.65
Quercus pyrenaica,2,18,0.413,0.45
Quercus pyrenaica,2,14,0.44,0.47
Quercus pyrenaica,2,15,0.49,0.429
Quercus pyrenaica,2,16,0.51,0.47
Quercus pyrenaica,2,14,0.425,0.435
Quercus faginea,5,4,0.077,0.086
Quercus faginea,4,7.5,0.153,0.151
Acer campestre,5,5.5,0.109,0.095
Acer campestre,5,6,0.097,0.103
Quercus faginea,4,6,0.18,0.194
Quercus faginea,5,6,0.12,0.132
Quercus faginea,5,6,0.159,0.149
Quercus faginea,4,6,0.187,0.182
Quercus faginea,5,4.5,0.126,0.145
Quercus faginea,5,6.5,0.148,0.15
Quercus faginea,4,5.5,0.144,0.148
Quercus faginea,5,5.5,0.157,0.152
Quercus faginea,5,5,0.137,0.128
Quercus faginea,3,5.5,0.102,0.094
Quercus faginea,5,4.5,0.106,0.114
Quercus faginea,4,5.5,0.138,0.147
Quercus faginea,2,6,0.092,0.088
Quercus faginea,3,7,0.128,0.136
Quercus faginea,5,6,0.075,0.081
Quercus faginea,4,10.5,0.345,0.347
Quercus faginea,4,8.5,0.36,0.387
Quercus faginea,2,9,0.24,0.246
Quercus faginea,4,9,0.418,0.43
Quercus faginea,4,7.5,0.167,0.191
Quercus faginea,2,7.5,0.123,0.133
Quercus faginea,5,6.5,0.137,0.133
Quercus faginea,5,5,0.122,0.14
Fagus sylvatica,5,7.5,0.271,0.274
Fagus sylvatica,2,8.5,0.148,0.129
Fagus sylvatica,4,8.5,0.288,0.284
Fagus sylvatica,5,8,0.253,0.212
Fagus sylvatica,2,8,0.157,0.152
Fagus sylvatica,5,6,0.124,0.14
Fagus sylvatica,2,7,0.177,0.181
Fagus sylvatica,5,6,0.212,0.221
Fagus sylvatica,5,7,0.196,0.227
Fagus sylvatica,5,5.5,0.154,0.158
Fagus sylvatica,2,9.5,0.164,0.158
Fagus sylvatica,2,10.5,0.21,0.227
Fagus sylvatica,2,11,0.138,0.147
Fagus sylvatica,2,11,0.302,0.283
Fagus sylvatica,2,8.5,0.241,0.226
Fagus sylvatica,3,4.5,0.078,0.076
Fagus sylvatica,5,8,0.392,0.328
Fagus sylvatica,5,8,0.243,0.267
Fagus sylvatica,4,8.5,0.312,0.327
Fagus sylvatica,4,8,0.226,0.25
Fagus sylvatica,5,5.5,0.14,0.147
Fagus sylvatica,5,4,0.138,0.121
Fagus sylvatica,5,5,0.099,0.103
Fagus sylvatica,4,7.5,0.326,0.289
Fagus sylvatica,4,8,0.252,0.248
Fagus sylvatica,5,5.5,0.196,0.205
Fagus sylvatica,4,8,0.254,0.253
Fagus sylvatica,2,17,0.333,0.346
Fagus sylvatica,2,19,0.433,0.451
Fagus sylvatica,2,19,0.313,0.363
Fagus sylvatica,2,19.5,0.401,0.433
Fagus sylvatica,2,15,0.274,0.259
Crataegus spp.,5,5.5,0.083,0.089
Fagus sylvatica,2,18.5,0.28,0.285
Fagus sylvatica,2,18,0.202,0.248
Quercus faginea,5,14,0.178,0.187
Sorbus spp.,2,12.5,0.273,0.278
Fagus sylvatica,2,16.5,0.24,0.241
Fagus sylvatica,3,8,0.096,0.097
Fagus sylvatica,2,14,0.258,0.258
Fagus sylvatica,2,19.5,0.3,0.304
Fagus sylvatica,2,20,0.31,0.318
Fagus sylvatica,2,15.5,0.294,0.295
Fagus sylvatica,2,20,0.394,0.387
Fagus sylvatica,2,20,0.278,0.288
Fagus sylvatica,2,17.5,0.214,0.209
Fagus sylvatica,2,19.5,0.376,0.367
Fagus sylvatica,2,15,0.216,0.216
Fagus sylvatica,2,21,0.358,0.356
Fagus sylvatica,2,19,0.286,0.317
Fagus sylvatica,2,17.5,0.397,0.355
Fagus sylvatica,2,18,0.258,0.242
Fagus sylvatica,2,19,0.461,0.465
Fagus sylvatica,2,19,0.25,0.221
Sorbus spp.,2,18.5,0.273,0.261
Fagus sylvatica,2,13,0.296,0.318
Fagus sylvatica,3,9,0.114,0.113
Fagus sylvatica,3,9,0.093,0.084
Fagus sylvatica,2,9.5,0.137,0.134
Crataegus spp.,5,6.5,0.156,0.147
Fagus sylvatica,2,12,0.184,0.212
Fagus sylvatica,2,10,0.152,0.154
Fagus sylvatica,3,9.5,0.082,0.093
Fagus sylvatica,2,8.5,0.121,0.131
Sorbus spp.,3,7.5,0.097,0.099
Fagus sylvatica,2,9,0.153,0.158
Fagus sylvatica,3,10,0.102,0.099
Fagus sylvatica,2,20,0.485,0.463
Fagus sylvatica,3,9,0.078,0.081
Fagus sylvatica,2,10,0.202,0.22
Fagus sylvatica,3,9.5,0.09,0.091
Fagus sylvatica,3,9,0.094,0.097
Fagus sylvatica,3,9,0.1,0.098
Fagus sylvatica,3,8,0.09,0.088
Fagus sylvatica,2,11,0.141,0.13
Fagus sylvatica,2,9.5,0.232,0.275
Fagus sylvatica,2,19.5,0.364,0.398
Fagus sylvatica,3,9,0.11,0.114
Fagus sylvatica,2,18.5,0.279,0.286
Fagus sylvatica,2,14,0.438,0.35
Fagus sylvatica,3,9,0.09,0.094
Salix spp.,5,6,0.093,0.091
Salix spp.,5,6.5,0.078,0.074
Fagus sylvatica,5,4.5,0.178,0.166
Quercus faginea,4,7,0.282,0.305
Quercus faginea,2,9,0.282,0.259
Quercus faginea,2,9.5,0.219,0.236
Quercus faginea,2,7.5,0.315,0.312
Quercus faginea,2,9.5,0.288,0.287
Fagus sylvatica,5,8.5,0.495,0.38
Quercus faginea,3,6.5,0.1,0.096
Quercus faginea,2,8.5,0.143,0.133
Fagus sylvatica,3,9.5,0.078,0.082
Fagus sylvatica,3,7.5,0.115,0.116
Quercus faginea,5,5,0.084,0.075
Fagus sylvatica,2,17,0.507,0.44
Fagus sylvatica,2,14,0.282,0.262
Fagus sylvatica,2,18,0.536,0.5
Fagus sylvatica,2,15,0.535,0.525
Acer campestre,3,9,0.08,0.084
Fagus sylvatica,2,14,0.134,0.151
Fagus sylvatica,3,9.5,0.089,0.089
Fagus sylvatica,3,12,0.084,0.082
Fagus sylvatica,3,11,0.08,0.076
Quercus faginea,3,8,0.079,0.075
Fagus sylvatica,3,10,0.08,0.071
Acer campestre,5,8,0.276,0.261
Acer campestre,5,13,0.414,0.345
Fagus sylvatica,2,14,0.55,0.498
Fagus sylvatica,2,12,0.145,0.15
Fagus sylvatica,2,11,0.097,0.103
Fagus sylvatica,3,9.5,0.11,0.096
Fagus sylvatica,2,15,0.336,0.38
Fagus sylvatica,2,22,0.51,0.55
Fagus sylvatica,2,21,0.44,0.48
Fagus sylvatica,4,17,0.36,0.31
Fagus sylvatica,5,6.5,0.08,0.087
Fagus sylvatica,4,17,0.39,0.37
Fagus sylvatica,2,18,0.325,0.32
Fagus sylvatica,2,18,0.34,0.35
Fagus sylvatica,4,20,0.42,0.434
Fagus sylvatica,2,8,0.185,0.165
Fagus sylvatica,2,9,0.127,0.125
Fagus sylvatica,5,11,0.195,0.195
Fagus sylvatica,2,19,0.47,0.46
Fagus sylvatica,4,22,0.48,0.495
Fagus sylvatica,2,20,0.27,0.25
Fagus sylvatica,2,23,0.343,0.342
Fagus sylvatica,2,20,0.47,0.46
Fagus sylvatica,2,15,0.212,0.225
Fagus sylvatica,2,18,0.235,0.26
Fagus sylvatica,2,24,0.462,0.42
Quercus faginea,2,6,0.184,0.182
Quercus faginea,3,7,0.124,0.126
Quercus faginea,3,6.5,0.138,0.138
Quercus faginea,4,9.5,1.305,1.305
Quercus faginea,3,5,0.098,0.093
Quercus faginea,3,5,0.087,0.084
Quercus faginea,3,6,0.105,0.108
Quercus faginea,5,6,0.113,0.127
Quercus faginea,4,6.5,0.134,0.137
Quercus faginea,5,6.5,0.151,0.151
Quercus faginea,4,7,0.136,0.142
Quercus faginea,4,8,0.18,0.164
Quercus faginea,5,6,0.12,0.111
Quercus faginea,3,8,0.138,0.121
Quercus faginea,3,6,0.094,0.097
Quercus faginea,4,5,0.145,0.136
Quercus faginea,3,7.5,0.132,0.132
Quercus faginea,2,8,0.157,0.173
Quercus faginea,3,6.5,0.123,0.128
Quercus faginea,3,5,0.111,0.114
Quercus faginea,3,4.5,0.083,0.084
Quercus faginea,3,6.5,0.127,0.125
Quercus faginea,5,6.5,0.103,0.111
Quercus faginea,3,7,0.128,0.134
Quercus faginea,5,7,0.124,0.14
Quercus faginea,5,6.5,0.12,0.141
Quercus faginea,5,6.5,0.137,0.149
Quercus faginea,5,5,0.093,0.095
Quercus faginea,5,6,0.132,0.127
Quercus faginea,4,6.5,0.146,0.142
Quercus faginea,4,6,0.132,0.124
Quercus faginea,5,6,0.113,0.116
Quercus faginea,3,7,0.133,0.13
Quercus faginea,3,7,0.138,0.138
Quercus faginea,5,6.5,0.092,0.089
Quercus faginea,3,7,0.146,0.149
Quercus faginea,3,6.5,0.086,0.085
Quercus faginea,4,7,0.38,0.364
Quercus faginea,4,6.5,0.372,0.413
Quercus faginea,4,6.5,0.44,0.464
Quercus faginea,4,6,0.297,0.33
Quercus faginea,4,7.5,0.433,0.459
Quercus faginea,4,6.5,0.423,0.446
Quercus faginea,4,7,0.491,0.486
Quercus faginea,4,5.5,0.302,0.29
Quercus faginea,4,8.5,0.486,0.512
Fagus sylvatica,4,16,0.203,0.212
Fagus sylvatica,3,12,0.074,0.079
Fagus sylvatica,2,14.5,0.171,0.183
Fagus sylvatica,2,12.5,0.146,0.148
Fagus sylvatica,3,12,0.092,0.092
Fagus sylvatica,2,17.5,0.257,0.252
Fagus sylvatica,2,18,0.284,0.277
Fagus sylvatica,2,17.5,0.295,0.298
Quercus pyrenaica,4,7.5,0.156,0.19
Quercus pyrenaica,2,12.5,0.174,0.172
Quercus pyrenaica,5,9,0.154,0.15
Fagus sylvatica,4,13.5,0.362,0.394
Quercus pyrenaica,2,16.5,0.179,0.187
Fagus sylvatica,2,13,0.139,0.157
Fagus sylvatica,2,14,0.174,0.175
Fagus sylvatica,2,16,0.34,0.329
Quercus pyrenaica,2,10,0.222,0.223
Fagus sylvatica,2,14.5,0.23,0.243
Fagus sylvatica,2,15,0.203,0.219
Fagus sylvatica,2,17.5,0.342,0.362
Fagus sylvatica,3,10,0.08,0.074
Fagus sylvatica,2,17.5,0.282,0.283
Fagus sylvatica,2,17,0.153,0.149
Fagus sylvatica,2,17,0.225,0.244
Fagus sylvatica,3,13,0.093,0.09
Fagus sylvatica,2,16,0.17,0.17
Fagus sylvatica,2,16,0.162,0.16
Fagus sylvatica,2,15,0.217,0.225
Fagus sylvatica,5,12.5,0.144,0.124
Fagus sylvatica,2,17,0.408,0.394
Fagus sylvatica,5,11,0.132,0.122
Quercus faginea,2,18.5,0.36,0.352
Quercus faginea,2,9,0.142,0.136
Quercus faginea,2,19.5,0.253,0.235
Quercus faginea,3,8,0.104,0.096
Quercus faginea,2,9.5,0.148,0.138
Quercus faginea,5,5.5,0.083,0.076
Quercus faginea,2,18,0.406,0.395
Quercus faginea,2,8.5,0.13,0.121
Quercus faginea,3,7,0.09,0.084
Quercus faginea,2,21.5,0.485,0.479
Quercus faginea,2,19,0.31,0.302
Quercus faginea,2,10,0.13,0.128
Quercus faginea,2,13,0.273,0.298
Quercus faginea,2,10,0.131,0.135
Quercus faginea,5,6,0.098,0.103
Quercus faginea,2,12,0.14,0.14
Quercus faginea,4,13.5,0.294,0.3
Quercus faginea,2,15.5,0.227,0.226
Quercus faginea,2,16.5,0.278,0.269
Quercus faginea,2,16,0.23,0.234
Quercus faginea,2,17,0.317,0.313
Quercus faginea,2,12.5,0.186,0.181
Quercus faginea,2,14,0.156,0.17
Quercus faginea,2,16,0.226,0.233
Quercus faginea,2,17,0.278,0.26
Quercus faginea,2,16,0.26,0.28
Fagus sylvatica,2,17.5,0.234,0.233
Quercus faginea,2,19,0.183,0.178
Fagus sylvatica,2,24,0.457,0.478
Quercus faginea,2,24,0.311,0.347
Fagus sylvatica,2,23.5,0.485,0.449
Fagus sylvatica,2,23,0.258,0.264
Quercus faginea,2,25,0.402,0.357
Quercus faginea,2,19,0.247,0.237
Quercus faginea,2,21,0.281,0.3
Fagus sylvatica,2,24,0.439,0.448
Quercus faginea,2,22,0.207,0.214
Quercus faginea,2,22,0.241,0.252
Quercus faginea,2,22.5,0.262,0.263
Fagus sylvatica,4,20,0.456,0.494
Quercus faginea,2,19,0.174,0.169
Fagus sylvatica,2,23,0.323,0.298
Fagus sylvatica,2,24.5,0.364,0.329
Quercus faginea,2,24,0.315,0.309
Fagus sylvatica,2,24,0.44,0.432
Fagus sylvatica,2,20,0.46,0.439
Fagus sylvatica,2,23,0.403,0.423
Fagus sylvatica,2,24,0.488,0.51
Quercus faginea,2,20,0.185,0.181
Fagus sylvatica,2,22.5,0.405,0.35
Quercus faginea,2,21,0.297,0.272
Fagus sylvatica,2,11,0.243,0.268
Fagus sylvatica,4,14.5,0.484,0.51
Fagus sylvatica,2,9,0.182,0.157
Fagus sylvatica,2,16.5,0.473,0.471
Fagus sylvatica,2,16,0.3,0.307
Fagus sylvatica,2,16,0.326,0.362
Fagus sylvatica,2,15.5,0.239,0.244
Quercus faginea,2,16,0.424,0.47
Fagus sylvatica,3,11,0.138,0.138
Juniperus communis,5,4,0.114,0.11
Fagus sylvatica,2,14,0.219,0.243
Fagus sylvatica,2,17,0.195,0.183
Fagus sylvatica,2,16,0.268,0.282
Fagus sylvatica,3,7,0.104,0.104
Fagus sylvatica,2,20,0.448,0.404
Fagus sylvatica,2,27,0.573,0.573
Fagus sylvatica,2,24,0.52,0.506
Fagus sylvatica,2,22.5,0.553,0.545
Fagus sylvatica,2,24,0.592,0.585
Fagus sylvatica,2,11,0.354,0.324
Fagus sylvatica,2,21,0.46,0.432
